problem;method;stage-reward;best-so-far;time
rastrigin;myopic;-2.565452985395508,-4.485150374276998,-8.806231444128224,-10.924964061889535,-16.723917991753485,-18.284800949664042,7.4299530675137815,-19.76691094809279,-8.353932511984212,-22.52092162836309,-27.6743333149955,-35.07400096257147,-21.973155702292807,2.1012562255916447,-35.394792268602146,-39.77989148362186,-29.558766311539564,-30.50445380363257,-33.42648349090788,-15.536152828687012,327.0565328190657,151.12010023214904,121.96398100640795,130.14819614286296,144.3100401659432,71.78519698378528,207.87310327122617,71.7132258247116,103.47323768912717,97.78481773395637,86.84561939238492,48.9366040552088,44.07760060869235,-17.462382851305954,-31.74341478370711,-36.56065481226012,-20.38501071280085,-27.546832437021763,39.965779588581384,-39.96668009661751,47.38101320207972,1.728220517576792,1.149994508681711,88.36689824759706,-38.74260416488289,18.748678491378545,-5.076516705392648,17.76355498106368,55.170130800246866,-36.16590950049373,-36.14689208739088,-22.35115136383385,-44.72517070884248,-29.25827794948771,-40.82838064884191,8.12380490239666,-24.2242624073686,114.01435276233966,29.974031288604323,15.898080456524115,28.937289090964086,74.0346862661157,-15.078823039231132,27.85379536473171,27.420035236646118,-3.3164727250732824,-7.7355559285808795,-11.499822612678162,-46.57220899250061,0.9091027254516411,51.76011544410638,-15.23265680569111,41.804028800695455,17.291261433182775,-22.607882057887494,21.02875751928221,-32.35359457194959,16.92511550984333,-10.649148143932273,34.711353773296544;29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,29.913405349291452,19.428618018206517,15.804164985730516,15.804164985730516,15.804164985730516,15.804164985730516,15.804164985730516,15.804164985730516,15.804164985730516;109.44512176513672,141.95404052734375,263.2192077636719,88.73881530761719,88.57087707519531,99.45906829833984,127.29548645019531,140.4385223388672,195.7611541748047,90.15910339355469,96.44441223144531,78.45990753173828,175.26170349121094,185.66041564941406,178.4453125,300.2767333984375,125.65708923339844,163.85638427734375,174.78656005859375,289.5564880371094,265.670654296875,343.6871643066406,466.5384826660156,333.08673095703125,208.19046020507812,257.95379638671875,469.63507080078125,427.1534118652344,390.89459228515625,299.9490661621094,455.3144226074219,245.47935485839844,324.3130798339844,215.56736755371094,151.98822021484375,83.84307098388672,164.10214233398438,144.90931701660156,125.92230224609375,155.8691864013672,256.7301025390625,293.1927185058594,183.86329650878906,203.70944213867188,100.60594940185547,158.34828186035156,270.1138000488281,229.90130615234375,181.38316345214844,133.3780517578125,168.0353240966797,196.00588989257812,189.7154541015625,146.25689697265625,170.94041442871094,162.79962158203125,227.88812255859375,215.38201904296875,299.6531066894531,288.5529479980469,300.12109375,235.0530548095703,170.05465698242188,209.82681274414062,347.4278259277344,207.283203125,302.5162353515625,248.34764099121094,264.0332946777344,306.4371337890625,383.4634094238281,218.5727996826172,342.72357177734375,323.6434020996094,308.5608825683594,365.8229675292969,242.6429443359375,176.24371337890625,218.82266235351562,163.61984252929688
rosenbrock;myopic;105312.82363027088,-104428.7999445337,61705.554221192375,-115355.22985277479,-133435.20031949802,36580.19489294016,6951.741814675595,-2719.7288008213654,54330.33022374181,81344.86087480001,48668.81595767081,53686.50470544181,57813.93974203424,54656.31753950812,41348.09323157613,32690.197830013938,55490.87579544846,43660.25755704283,65021.91024891244,61472.28855352672,54513.27321289254,45018.79455938879,81679.8650876221,64503.83578787162,57805.76947537754,50118.06149505146,53261.36461841269,49480.450927118975,46773.604995202564,39967.53679995454,38504.155582842606,35624.745429699455,31143.14682961023,29583.81467309846,28546.292645489568,35242.468871365694,33706.227370837725,30962.199994022692,27060.33971968111,26583.147947279427,26063.026561886018,24075.827238321777,23257.399879263532,22083.56867699689,20489.999322357973,19294.180599877942,18573.737310530556,18162.010479800734,17646.918139940382,16657.76624203245;82944.50282156956,82944.50282156956,82944.50282156956,82944.50282156956,82944.50282156956,82944.50282156956,82944.50282156956,82944.50282156956,52301.97707188324,31419.32681287428,31419.32681287428,31419.32681287428,14397.957675598553,14397.957675598553,14397.957675598553,14397.957675598553,14397.957675598553,14397.957675598553,14397.957675598553,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,8826.027396175308,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515,6423.259488761515;199.7998046875,66.24665832519531,167.4352569580078,131.68844604492188,170.11814880371094,186.75302124023438,210.99212646484375,175.0425567626953,435.9372863769531,200.9497528076172,299.4432067871094,271.12139892578125,261.0360412597656,288.79156494140625,434.471923828125,351.5842590332031,240.63282775878906,361.5119323730469,325.7978820800781,407.04205322265625,211.51846313476562,217.67372131347656,302.1916198730469,370.44635009765625,340.7492980957031,427.50567626953125,403.8502502441406,268.7447509765625,257.7254333496094,216.84632873535156,250.16729736328125,340.7513732910156,368.822265625,327.01031494140625,260.2905578613281,303.60577392578125,199.35232543945312,268.7754211425781,259.47955322265625,244.74520874023438,347.5302429199219,355.209228515625,277.13946533203125,345.5129699707031,234.52671813964844,245.6944580078125,276.41650390625,301.92230224609375,267.9859313964844,283.6490173339844
shekel;myopic;0.5053308858448252,1.1755792641843947,0.9848631650424338,2.4756343450642895,1.6900858567723287,1.5837573859859524,1.3184483257869979,1.3811448233959676,4.021471728429616,0.9259639940353876,2.3788207209266927,2.3741105247747165,3.6846083749801064,3.439205270666546,1.9501049666633306,1.7115448847880665,2.747694984508187,0.9640187289122942,2.6309424129105743,2.5822945127649315,2.6549092913115904,8.85315087629601,4.187846177817929,4.584741357715487,3.13088893125969,3.069887217473621,2.9162558453721013,3.0194162104873357,5.853023099586151,4.285957928336441,4.084226163440705,3.36550028062501,3.326207363807613,3.1079986031436846,3.6046701261221874,2.9640741022888104,3.366559541280945,2.7877817886356575,2.9552757018809532,3.7780345920559775,3.4180073498873655,2.9272597484893654,3.4766632910908823,2.766997674486948,7.5921322475882205,5.075168706802223,4.940696482474602,4.858893649782211,4.574757214609039,4.540880201087581,4.146162648122227,3.0614905611238057,6.140473348282059,4.0816334922222675,3.7957544072354943,4.5656878553036675,3.553476107688377,2.904971385395039,2.5645584458411115,4.725985455524053,4.139231559672106,4.0907825925552475,3.481001689291342,3.086545329696595,2.9126981878146347,2.7932422060049364,2.7140737475441745,2.8694217407674882,2.804800909702415,2.6633726536306725,2.6773297552498634,2.8134317419106663,2.5750218644676335,2.8822485183552407,4.800273593042212,3.7666402659373794,5.154026454468064,4.225797286635456,4.616187850041106,3.8696012156507638;-0.477923320539246,-0.8341084652136111,-0.837718211450482,-1.2123937209530475,-1.2123937209530475,-1.2123937209530475,-1.2123937209530475,-1.2123937209530475,-1.7583334012322802,-1.7583334012322802,-1.7583334012322802,-2.2033625962222576,-2.2033625962222576,-2.2033625962222576,-2.2033625962222576,-2.2033625962222576,-2.2033625962222576,-2.4252750061174395,-2.4252750061174395,-2.4252750061174395,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954,-2.491871943119954;96.88883209228516,94.36466979980469,134.53106689453125,216.3619842529297,395.89068603515625,638.244873046875,375.4065856933594,590.8941040039062,532.3489379882812,205.34886169433594,451.2696228027344,537.638916015625,547.06689453125,955.7084350585938,315.85894775390625,446.2561340332031,521.0921020507812,370.6306457519531,379.2445373535156,467.736572265625,468.06732177734375,336.3502197265625,504.8350830078125,375.8243713378906,680.0557861328125,555.7545166015625,463.0507507324219,547.5850219726562,400.9768981933594,496.2918395996094,540.1835327148438,579.4345092773438,633.7116088867188,583.2703857421875,344.2391052246094,563.9782104492188,485.13946533203125,528.8857421875,581.9699096679688,506.62603759765625,585.591796875,739.788818359375,665.4432983398438,588.168212890625,326.9591064453125,525.0662231445312,380.7907409667969,335.0804443359375,222.84288024902344,327.06353759765625,413.8332214355469,357.3309326171875,377.4883728027344,405.2459411621094,368.8857421875,272.6266784667969,285.0037841796875,455.8264465332031,474.925048828125,512.8857421875,357.52447509765625,417.7592468261719,550.2494506835938,361.40338134765625,420.22503662109375,439.2908630371094,472.3507080078125,290.1995544433594,403.4908142089844,295.6134338378906,297.10540771484375,349.6949768066406,373.3350524902344,297.3675537109375,228.49331665039062,335.7439880371094,284.3760681152344,246.1439971923828,266.5164794921875,267.79443359375
sixhumpcamel;myopic;480.6979133917424,2135.5929040686256,2200.1259967495603,1945.3367934145988,1719.104788494093,1398.4220794257803,1284.2857979924354,1183.3877621933352,1193.4883060703523,1114.0377381386506;9.41218051554584,9.41218051554584,9.41218051554584,9.41218051554584,9.41218051554584,2.213674480242765,2.213674480242765,2.213674480242765,2.213674480242765,0.9445037793954687,0.501788788355461;13.66528034210205,113.04959869384766,65.32198333740234,71.85100555419922,64.72499084472656,84.80973052978516,69.17324829101562,64.42803192138672,78.86335754394531,87.26016235351562
styblinskitang;myopic;154.862452524236,156.04167135646412,163.538707511366,153.97995385826258,189.5167928417174,171.37570169206649,186.28351117317894,174.76411130130197,171.09750941515202,172.8961393634152,171.8928992114451,169.21777525558656,168.878531550182,170.15971066316357,169.8833434966885,169.2315314251993,169.16290246881297,168.93576423004433,168.62558110091462,168.5560350331812,168.40846377128568,168.34208375544,168.26379962767757,168.30442517802652,168.2469848377929,168.15859159364638,168.11075156628564,168.07166726236224,168.04801139056036,167.96999889065586,167.96026931557654,167.94530196773115,167.95832607849567,168.06700119454447,167.89886835310972,167.89352352065623,167.8668954617389,167.85356426385823,167.84059301078395,167.82594100625386,167.81967336051866,167.79896059675326,167.786186665918,167.78276512113013,167.77464391922683,167.76821273720185,167.75711009305726,167.7555752330472,167.7523656279707,167.7468190171539,167.7207553733229,167.73393495141846,167.72424312174104,167.72165394848386,167.71961483545576,167.71304360321875,167.70587421489864,167.70441291548062,167.70361100753195,167.70298803136677;-122.16901702181738,-133.74906755298528,-133.74906755298528,-133.74906755298528,-158.07781656934463,-158.07781656934463,-158.07781656934463,-158.5086149050636,-164.32500155105222,-166.06548906596532,-166.06548906596532,-166.06548906596532,-166.17674173633444,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.47974223019577,-167.53889950578053,-167.53889950578053,-167.53889950578053,-167.53889950578053,-167.53889950578053,-167.53889950578053,-167.53889950578053,-167.53889950578053,-167.53889950578053,-167.53889950578053,-167.53889950578053,-167.54132260727914,-167.54132260727914,-167.54132260727914,-167.54132260727914,-167.54132260727914,-167.54132260727914,-167.54132260727914,-167.54132260727914,-167.54132260727914,-167.54669929922844,-167.54669929922844,-167.54669929922844,-167.54669929922844,-167.54669929922844,-167.54669929922844,-167.54669929922844,-167.54669929922844,-167.54669929922844,-167.54669929922844;72.92415618896484,109.2515869140625,111.1019515991211,91.76371002197266,102.25971221923828,150.71743774414062,153.89389038085938,152.911865234375,190.91250610351562,119.47724914550781,201.90924072265625,160.33279418945312,133.33197021484375,128.5181427001953,120.90777587890625,201.6337890625,212.44415283203125,207.2821807861328,291.45703125,201.2006378173828,231.77626037597656,164.37759399414062,215.36256408691406,215.86329650878906,178.66342163085938,188.9853515625,169.87852478027344,212.42469787597656,150.3539276123047,314.166259765625,262.68365478515625,128.92262268066406,255.63136291503906,136.6978302001953,133.59103393554688,234.967041015625,197.44972229003906,164.46873474121094,151.1690216064453,127.9846420288086,139.94189453125,216.45516967773438,233.65017700195312,147.07200622558594,210.09510803222656,204.68121337890625,179.17337036132812,209.83807373046875,269.31201171875,160.1064910888672,155.05101013183594,425.4945373535156,267.8845520019531,288.5498962402344,291.76422119140625,324.0652770996094,176.94613647460938,308.75341796875,243.15187072753906,216.86886596679688
ackley;myopic;-10.311989421323123,-10.737130258136414,-9.313882495136584,-9.651713155281193,-5.794000666207503,-6.7780550139696425,-2.5506091679356477,-1.7482539163119677,-2.9545507978733014,-2.281980826401666,-2.0206748773622696,-2.8763650445499453,-3.503792945351398,-2.833498521682176,-3.0790945453848453,-3.179627580864937,-3.213205921921432,-3.317465230514901,-3.610983275246107,-3.6220687641899976,-3.577599862892809,-3.275384165289432,-3.447000554238082,-2.7148526121945182,-2.5837104852335275,-3.223395814940873,-2.7040565113418285,-2.7851273751974372,-2.8483963453307903,-3.2759253916515805,-3.548178746006446,-3.2628723923719085,-2.7186663392730903,-2.5919897621381893,-3.153283716376813,-3.222571632650852,-2.5333638728110737,-2.5186772905403054,-2.715511734963826,-2.7908883861642892,-3.1247895182457537,-3.2118229355594607,-2.562094672456485,-3.268621244127498,-3.2396914495769593,-3.4031997182556553,-2.549956975595273,-3.4494661829903808,-3.2716345535419356,-2.619627018748833;12.979179500690584,12.979179500690584,11.786601985480603,11.786601985480603,8.710618902703175,8.710618902703175,4.644591663732886,4.561608047068969,4.561608047068969,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,3.5290410240964403,2.900318279859047,2.900318279859047,2.8020530597606528,2.8020530597606528,2.8020530597606528,2.8020530597606528,2.8020530597606528,2.8020530597606528,2.8020530597606528,2.8020530597606528,2.8020530597606528,2.6666307388388657,2.622438457540945,2.622438457540945,2.622438457540945,2.622438457540945,2.622438457540945,2.622438457540945,2.622438457540945,2.622438457540945,2.622438457540945,2.5848146747668435,2.5848146747668435,2.5848146747668435,2.5848146747668435,2.5848146747668435,2.5848146747668435,2.5848146747668435,2.5848146747668435;266.5164794921875,176.59085083007812,191.57913208007812,202.61068725585938,342.52288818359375,396.1446533203125,763.7667846679688,518.2935180664062,407.4495849609375,177.87391662597656,585.2139282226562,510.8746337890625,188.67916870117188,343.2745056152344,468.3141174316406,237.62022399902344,470.01190185546875,109.28128051757812,264.48486328125,618.1826782226562,491.28857421875,775.8827514648438,313.32965087890625,1162.2266845703125,1260.2235107421875,92.63616180419922,964.2649536132812,311.4936218261719,607.3405151367188,210.1923828125,165.95968627929688,270.58074951171875,1726.08203125,1528.0947265625,183.9052734375,228.78720092773438,548.6203002929688,424.3497009277344,119.1383056640625,139.97772216796875,178.2783966064453,149.46099853515625,583.2376098632812,161.7100830078125,151.2437744140625,154.29530334472656,835.646484375,159.11013793945312,189.23008728027344,351.9580078125
adjiman;myopic;1.6729756124337039,1.5973286306146546,1.8253892032823376,1.9345459709838655,1.9939665705968197,2.0431544900065046,2.064641313968597,2.0413040268121603,2.0344209561380366,2.030458516601074;-1.5388316490805076,-1.5388316490805076,-1.7839680641273001,-1.9016046032241893,-1.961035863161027,-2.006488977838973,-2.0094664165991256,-2.0094664165991256,-2.0094664165991256,-2.0094664165991256,-2.0147778103080825;43.733985900878906,87.49772644042969,140.7631378173828,166.4389190673828,175.91500854492188,94.11583709716797,121.36857604980469,149.22341918945312,180.70118713378906,138.54515075683594
branin;myopic;45.58748411863108,47.20443020078298,40.7307289801567,41.04004159071797,41.09993291509457,44.34300544011216,39.55802943292648,36.92379220308989,35.241797718690925,30.684218701198535,35.5205488957028,28.118661996532225,26.723271677207954,22.72898686769635,22.367324500530632,23.264799742138276,22.216799389424846,21.495928518343064,20.828679926044344,19.47550600216288,18.614600315155418,17.77364874212328,16.117979149732463,15.220468109285925,14.762113563344855,12.65352120137399,12.68754698659371,10.402309483189184,10.677191915655794,10.080816775515938,9.675342907939966,8.257774478005945,8.059021140763509,11.525492986488807,8.977021885002546,7.903119931918345,7.519968467707656,7.351218686633027,8.153115944336307,6.963804449516694;5.9364787891710336,5.9364787891710336,5.9364787891710336,5.9364787891710336,5.9364787891710336,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,2.394703832405031,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072,1.505380741933072;162.78732299804688,134.5515594482422,255.994873046875,156.10879516601562,165.0892791748047,138.69874572753906,91.04691314697266,130.68698120117188,104.02816009521484,172.6208038330078,160.13107299804688,113.64864349365234,117.5367660522461,164.35507202148438,137.90924072265625,95.84537506103516,89.19551849365234,115.64137268066406,160.9564208984375,133.7057342529297,118.81574249267578,77.36831665039062,94.82546997070312,102.22284698486328,122.96294403076172,148.69708251953125,138.1406707763672,106.21952056884766,168.22682189941406,91.57324981689453,167.50489807128906,159.86790466308594,133.96070861816406,135.46290588378906,118.97856140136719,193.2103729248047,133.29612731933594,176.60313415527344,177.91590881347656,184.54527282714844
hartmann;myopic;6.01811827352892,3.4866874278935462,3.806914358818596,3.846170358663187,3.221862769885097,19.542515751951267,9.431344875768058,11.125852453677297,6.39682153456608,4.874569363491034,5.644984813398948,4.80789749522345,53.38127093093567,15.02147691689843,27.418494099448996,12.51989593873529,7.050538850752393,7.935388112097408,6.160779545141047,5.678003977059334,6.411885622557372,5.439866613627949,7.290994929700823,5.771671404646546,4.647261506588069,5.501346828776009,4.921726356361176,4.437360147484893,4.344199017154916,4.270101082389379,4.570323006066267,4.324537065026956,4.226715718101755,4.110597168359159,4.164122244749835,4.045956700517107,4.949047311030367,5.3749054090624835,4.232280662071631,3.925539170411999,4.121916813231102,3.907087842864165,3.9957472085151635,4.042831235334919,4.0437983536386595,3.996057575052184,3.9955988762943906,4.003042637400467,3.9661147026954864,3.924564289991512;-2.625174218021216,-2.625174218021216,-2.625174218021216,-2.625174218021216,-2.6884576598809744,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.832968881008585,-3.8386080842261543,-3.8386080842261543,-3.8386080842261543,-3.8386080842261543,-3.8386080842261543,-3.8386080842261543,-3.8386080842261543,-3.853267005208836,-3.853267005208836,-3.853267005208836,-3.853267005208836,-3.853267005208836,-3.853267005208836,-3.853267005208836,-3.853267005208836,-3.856748662065157,-3.856748662065157,-3.856748662065157,-3.856748662065157,-3.856748662065157,-3.856748662065157,-3.856748662065157;16.921600341796875,76.89933013916016,36.936702728271484,48.84787368774414,50.929664611816406,40.49305725097656,39.604225158691406,77.8946533203125,60.48972702026367,123.04486083984375,57.90105438232422,65.42639923095703,57.781246185302734,92.0821762084961,71.11065673828125,123.45552062988281,87.30623626708984,149.26028442382812,104.2534408569336,120.0732192993164,121.23955535888672,76.30028533935547,77.99910736083984,101.40364837646484,66.50982666015625,64.56729888916016,75.46265411376953,71.33081817626953,93.18498992919922,101.6975326538086,132.9336700439453,94.91353607177734,116.37657928466797,186.58099365234375,114.88870239257812,170.5471954345703,161.2718048095703,166.15834045410156,99.24505615234375,89.41875457763672,123.84255981445312,128.54579162597656,84.24140930175781,103.74861145019531,129.04550170898438,74.45503997802734,101.01554870605469,89.05318450927734,152.15309143066406,103.73734283447266
michalewicz;myopic;2.086063851901909,2.2879427666023004,1.8780157567548885,1.7794736663080433,1.764257883045952,2.8925013672593245,1.9209458361169192,1.85884431768653,3.461474683240572,3.0644113655237075,2.2376491749777605,2.2084474546632373,2.3374458196308145,4.81514224127551,3.1495743641896627,3.552059478924279,3.0392156654069677,3.1527552725297068,2.9341730433731357,2.5370839849132367,4.181815859962444,4.206482302187665,3.321811374670188,3.341382051589542,2.7829886293626775,4.243771987330471,3.624278889770311,3.2032243931513706,2.8638660109986445,2.6230248358651447,2.5572163232211427,2.553473263625816,2.545160624137967,2.32298311152446,2.2763884647043366,2.993465906318362,2.619327678780079,2.521212505625124,4.279547528829363,3.085925770260463,3.0591471417196336,2.772476754931153,6.372574650310064,4.987236941772124,4.186795455973505,4.2871879773148756,3.961336217318478,3.9981041295514554,7.1343087717975955,5.059547861293838;-1.4219071069888325,-1.4219071069888325,-1.4219071069888325,-1.4219071069888325,-1.4219071069888325,-1.4219071069888325,-1.4219071069888325,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.7058685510187523,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556,-1.9654644819449556;87.79058837890625,59.10736083984375,55.66361618041992,106.4826889038086,153.62457275390625,57.45868682861328,113.37318420410156,98.33164978027344,65.86470031738281,64.13721466064453,135.65951538085938,178.41357421875,66.36134338378906,118.30681610107422,138.47445678710938,138.9107208251953,155.683837890625,121.26207733154297,152.17356872558594,125.33452606201172,112.08601379394531,189.69088745117188,122.87283325195312,137.2169647216797,148.3489227294922,156.65560913085938,155.7145538330078,97.17145538330078,92.801025390625,133.28997802734375,103.36969757080078,115.42630767822266,159.6774444580078,109.01094055175781,225.50936889648438,74.45196533203125,119.836669921875,114.53952026367188,109.31199645996094,93.20345306396484,84.84146881103516,115.8656005859375,159.21664428710938,94.5090560913086,94.23564910888672,93.99295806884766,119.31648254394531,137.3675537109375,99.67616271972656,149.85215759277344
