problem;method;stage-reward;best-so-far;time
adjiman;myopic;1.7201829004470246,1.6891271508331374,1.6664469417344714,1.9146832889684675,1.946242816127067,1.9442971897616876,1.9256533552121287,1.9145076743144864,1.9699604932437507,1.9954100980608236,2.01907129197473,2.030372532715449,2.033574428488757,2.0357461913693293,2.024951312447508,2.036084564047601,2.032166911904337,2.0190253453337488,2.0181444893080616,1.991094915745543;-1.6077741673546346,-1.6077741673546346,-1.6077741673546346,-1.866683605584998,-1.8930854531591828,-1.8930854531591828,-1.8930854531591828,-1.8930854531591828,-1.954548632630995,-1.982726474688278,-2.0084087508824187,-2.021756027235626,-2.021756027235626,-2.021756027235626,-2.021756027235626,-2.021756027235626,-2.021756027235626,-2.021756027235626,-2.021756027235626,-2.021756027235626,-2.021756027235626;0.25081375055015087,0.13905418664216995,0.06917016208171844,0.1684660855680704,0.08512573316693306,0.07987616397440434,0.10506653599441051,0.0886174626648426,0.18557296134531498,0.15793510898947716,0.09846612252295017,0.16223727352917194,0.066545395180583,0.0769563615322113,0.08535196259617805,0.07971248961985111,0.1794738918542862,0.10951504670083523,0.09668917953968048,0.06219395622611046
branin;myopic;11.912678379832052,7.2687564868139685,4.627866737636921,3.1190358996251506,7.64857608498394,7.4088136304592425,5.002922203991621,3.624054313581528,3.106130163289512,34.77136944454754,33.33205858739597,31.98544277581518,33.3065608039433,31.07435914087131,27.941467324891633,24.892391322371484,24.362789371097637,22.75464115234236,20.79363954142262,20.125365578041308,19.498140950969358,17.034275427915624,17.485134175755984,15.209400829254644,14.232999723060189,13.004384712669772,12.596734033770506,11.986804668159921,10.977510356463211,9.587321270446695,9.567313726792491,9.087827311061908,8.837343305296539,8.642710116784283,7.889098609839056,9.039517044610067,8.156886738185474,7.056565929402073,7.136004646513561,6.935128704308513;3.120297525336067,3.120297525336067,3.120297525336067,3.120297525336067,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.5647281187476825,0.4889688041115452,0.4889688041115452,0.4889688041115452;0.199076596647501,0.12505421414971352,0.2248415593057871,0.2599115911871195,0.1907439772039652,0.18475732021033764,0.11928632110357285,0.15098345279693604,0.09057173691689968,0.15732025727629662,0.14253362081944942,0.07106886059045792,0.12320646271109581,0.11956102959811687,0.10505614802241325,0.10070926137268543,0.11265320144593716,0.17803889885544777,0.1210362408310175,0.07839437387883663,0.11953442916274071,0.11791965365409851,0.18080291152000427,0.11129358783364296,0.10853967256844044,0.1688217930495739,0.09655471332371235,0.10859153233468533,0.09100864827632904,0.0884621124714613,0.14358458295464516,0.1813772302120924,0.13557499088346958,0.14693095535039902,0.2215020600706339,0.2016048114746809,0.17373713664710522,0.15342509374022484,0.08135518804192543,0.15935752727091312
adjiman;s-myopic;1.807970637651987,1.7412611285987905,1.7439753483023517,1.7501413513930877,1.8007410570079012,1.7696352278053789,1.728377037998817,1.7213468730483623,1.872780972252286,1.9534453938357026,1.9999002486883704,2.0310501909873144,2.0563763953755467,2.0735518831627684,2.0805086119972853,1.9676774032399944,2.0724736997238913,2.0497623492996033,2.0651043314030515,2.0502135815781752;-1.6077741673546346,-1.6077741673546346,-1.6077741673546346,-1.6077741673546346,-1.6531609337478603,-1.6531609337478603,-1.6531609337478603,-1.6531609337478603,-1.821831063254608,-1.911254587974614,-1.9584864086031937,-1.9854467198885646,-2.0070231427551968,-2.0196413263457482,-2.0205172006474448,-2.0205172006474448,-2.0205172006474448,-2.0205172006474448,-2.0205172006474448,-2.0205172006474448,-2.0205172006474448;0.23049278371036053,0.20103415101766586,0.26701969653367996,0.4879042822867632,0.3013580311089754,0.3015669286251068,0.1978798545897007,0.1771455779671669,0.172068789601326,0.18977955542504787,0.2020970806479454,0.7435384057462215,0.2258804403245449,0.22826354019343853,0.18033364228904247,0.08965446799993515,0.21792460791766644,0.16405337117612362,0.16590686701238155,0.19479203037917614
adjiman;ei;nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan;-1.6077741673546346,-1.6077741673546346,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894,-2.011668079169894;0.6319493036717176,0.6041606161743402,0.8756243474781513,0.8981649875640869,0.5237358845770359,0.4208167064934969,0.28346043452620506,0.3111963961273432,0.4308261349797249,0.38028759136796,0.4377483241260052,0.46605079248547554,0.6005340628325939,0.6947515290230513,0.8168289549648762,0.4993511885404587,0.6058902479708195,0.7224709689617157,0.7156072054058313,0.9491900317370892
branin;s-myopic;14.88982534834362,11.067773099193753,7.535379194534736,12.02101652734559,11.08843758823183,9.913565120544131,9.469820066790788,11.297789234849956,10.545716590488517,8.776938656188848,7.434481717629009,35.51660445666165,32.17584472141029,31.09957260470651,25.706229618504143,24.202963547319776,27.82209182440584,26.12362143147947,25.11302790406894,25.87341231289453,22.61995948390462,22.276083772704588,19.87369018257299,22.20607462600364,18.62544328508119,18.770158478198667,18.91238582170748,17.532969910449015,17.14015374859399,15.995754418118452,15.53578451245933,15.346749491167113,15.351564479852026,14.293335387631185,14.717920061331627,14.082173866527498,13.542918836883572,13.378391714189602,13.135853211298716,12.084375685043671;3.120297525336067,3.120297525336067,3.120297525336067,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949,0.4694649490905949;0.1515930648893118,0.24056978709995747,0.2900623846799135,0.3099735137075186,0.35686083137989044,0.19382959604263306,0.22877658531069756,0.247715026140213,0.20970677584409714,0.24457649514079094,0.4084847327321768,0.16903269290924072,0.11623683199286461,0.23141412995755672,0.16463481076061726,0.23340364545583725,0.27230798825621605,0.22458288818597794,0.23847942613065243,0.18032428435981274,0.13378368318080902,0.17115171067416668,0.30235241539776325,0.16241166554391384,0.20347448997199535,0.2969475071877241,0.1999385766685009,0.3170830123126507,0.1776829957962036,0.2669010553508997,0.17430677078664303,0.181442029774189,0.2227617036551237,0.22959762252867222,0.3528819978237152,0.21052205190062523,0.2716702613979578,0.279316920787096,0.19808531738817692,0.34065896831452847
hartmann;myopic;3.7497048177122716,4.08443931970124,2.651314393453337,3.1101241496692613,16.678914249003505,8.81712459777641,4.694212005867759,4.6767861260682535,4.661131261084979,9.319422205778743,7.010930047685703,4.851997109323292,4.321272591216241,6.216886028737425,4.084449896936211,8.371193372479034,12.133243330230659,9.61992060834805,6.885129378945406,3.7589274280838905,7.425344376792258,6.906154182246454,5.9391898705794075,4.840482281627066,5.289822335055201,7.992291630293998,9.76454336376955,7.671247833438897,4.622134331998155,9.686639535188743,4.825119315380536,8.287847355312339,5.89392790527164,5.236735336453826,4.6394965004800675,4.354170469259868,10.012144221324895,9.10728790865918,5.092463752403289,7.297362306026974,4.752757391513848,4.089862525942473,4.0941369209683725,4.031176847720727,4.012243339078326,4.007171344708645,3.9626089709971146,3.978203426031062,3.943543047122893,3.9395829074530675;-2.2384074962952574,-2.2384074962952574,-2.2384074962952574,-2.8555824407408874,-2.8555824407408874,-2.8555824407408874,-2.8555824407408874,-2.8555824407408874,-3.2615100883437482,-3.2615100883437482,-3.2615100883437482,-3.2615100883437482,-3.2615100883437482,-3.2888158711261557,-3.2888158711261557,-3.2888158711261557,-3.2888158711261557,-3.2888158711261557,-3.2888158711261557,-3.2888158711261557,-3.736308469528738,-3.736308469528738,-3.736308469528738,-3.736308469528738,-3.736308469528738,-3.736308469528738,-3.736308469528738,-3.736308469528738,-3.736308469528738,-3.789418836025875,-3.789418836025875,-3.789418836025875,-3.789418836025875,-3.789418836025875,-3.789418836025875,-3.789418836025875,-3.789418836025875,-3.789418836025875,-3.789418836025875,-3.8500733151408957,-3.8500733151408957,-3.8500733151408957,-3.8500733151408957,-3.8500733151408957,-3.8557246841791053,-3.8557246841791053,-3.8557246841791053,-3.8557246841791053,-3.8557246841791053,-3.860588463415354,-3.860588463415354;0.13241215609014034,0.09178426116704941,0.6988119389861822,0.6632868926972151,0.9614789541810751,0.13158234395086765,0.10136892646551132,0.0844668410718441,0.16801078245043755,0.07070649415254593,0.06422148644924164,0.13818800076842308,0.13729235343635082,0.1354332435876131,0.17160679586231709,0.1092293169349432,0.16711841896176338,0.10010208375751972,0.07878173142671585,0.1350557915866375,0.06976118497550488,0.11958788149058819,0.11146282590925694,0.11084009520709515,0.10910454019904137,0.10246605984866619,0.1834262702614069,0.1453896388411522,0.13506260700523853,0.28224988654255867,0.16950469464063644,0.07949133589863777,0.10719573125243187,0.12683916836977005,0.1602362059056759,0.19881313294172287,0.13361719250679016,0.2063248585909605,0.12709787487983704,0.15781424567103386,0.14304179698228836,0.20048539154231548,0.21747877448797226,0.16793333180248737,0.19459188170731068,0.13069440238177776,0.17083455622196198,0.23372819647192955,0.17724558152258396,0.21151901222765446
hartmann;s-myopic;3.859464256372822,4.246159220248513,2.7444652916347283,3.1019095976827322,15.02910210902491,8.906415633440604,5.125106990959977,5.421162237310328,5.087091992359582,8.336706401209714,13.730104643017615,5.138948338070934,7.59593652554222,13.258516484499681,7.272366190355369,4.720110425288485,4.768986999285831,4.008333176629042,4.403985865102998,4.372192577276345,4.30466044191997,9.60964366798449,9.903911342983427,8.099421802235755,5.479193582294563,5.9360906867038,4.907568544147347,4.5344273065075,4.308307495813066,4.653920179495483,4.600067195879305,4.398232468777567,4.2011470816046455,4.200254550561506,4.051611133765091,4.01602143742685,4.35682901862739,3.83800855793572,3.591128700151909,4.094419487303583,5.318561913826661,4.345922067940351,3.9549853376311166,4.386432768413796,4.4374583249108985,4.344566374589364,4.209592263381256,4.170482828774418,3.9386569686279778,3.97165750426631;-2.2384074962952574,-2.2384074962952574,-2.2384074962952574,-2.7794873252504866,-2.7794873252504866,-2.7794873252504866,-2.7794873252504866,-2.7794873252504866,-2.7794873252504866,-2.7794873252504866,-2.7794873252504866,-2.7794873252504866,-2.8031708994454694,-2.8031708994454694,-2.8031708994454694,-2.8031708994454694,-2.8031708994454694,-2.8031708994454694,-3.566091110557272,-3.566091110557272,-3.566091110557272,-3.566091110557272,-3.566091110557272,-3.566091110557272,-3.566091110557272,-3.566091110557272,-3.566091110557272,-3.566091110557272,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153,-3.8587291092726153;0.09117959626019001,0.11530918814241886,0.6187635883688927,0.5985477045178413,0.9120880756527185,0.1916154157370329,0.20680489577353,0.1320128720253706,0.12303829379379749,0.14414477162063122,0.10691478662192822,0.09899353608489037,0.12527506798505783,0.1521801333874464,0.12325925193727016,0.1374670248478651,0.12360867112874985,0.09918341971933842,0.18784109130501747,0.2214141171425581,0.308598892763257,0.12166033871471882,0.1356923095881939,0.15179011598229408,0.18255386129021645,0.11175522767007351,0.16252451576292515,0.17733059637248516,0.21117133647203445,0.15663012862205505,0.1285901926457882,0.3610546626150608,0.4749452155083418,0.1896223146468401,0.24047515727579594,0.34647492691874504,0.2960058320313692,0.16973540373146534,0.29328938387334347,0.3973761014640331,0.15048074163496494,0.1906661856919527,0.14205286838114262,0.1868494637310505,0.17363178357481956,0.21204330399632454,0.206816291436553,0.17809159122407436,0.16519124805927277,0.2456260770559311
ackley;myopic;-18.19106763253956,-18.259432451522315,-18.482539120016583,-18.66309789092259,-18.91387416118301,-18.179762227580536,-17.353860985365625,-15.943171065545782,-14.212712842100775,-12.782847598438238,-10.420918939139517,-7.154331709438596,-5.587949618900652,-5.74768602308298,-6.3773730410153515,-2.808660156969443,-2.0687862495452656,-3.268222891865739,-2.661625861702653,-3.0528603802265697,-3.4965408545553895,-3.442057971561755,-3.501410610720404,-3.3975538056902987,-3.64666654101487,-3.0234900816082257,-3.677365993456853,-2.362638954605985,-2.6446796774526113,-2.717580102355117,-2.5472597483512445,-2.619835840381768,-2.707148039448379,-3.0443458475410226,-2.711784684785147,-3.3965591853889032,-2.550083323741172,-2.9822806103772814,-3.394790923922768,-3.0915065563215016,-3.526263105188374,-2.593108831660333,-2.6507733566306904,-3.3027676451401278,-2.6315394377210324,-3.3285858691108183,-3.4291752116641385,-3.470577858042426,-2.5768874102388635,-2.53754245479324;18.938764836695047,18.938764836695047,18.938764836695047,18.938764836695047,18.938764836695047,18.700093032618827,17.958983877843256,16.69064510849137,15.153892929541101,13.969922828150247,11.864924492520803,8.940880111064757,7.879228169182538,7.879228169182538,7.879228169182538,4.598454013190267,4.536179356289043,4.536179356289043,4.205019783989616,4.205019783989616,4.205019783989616,4.205019783989616,4.205019783989616,3.6080329704004446,3.6080329704004446,3.6080329704004446,2.870846431248794,2.870846431248794,2.870846431248794,2.870846431248794,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.691785678320891,2.631790642605836,2.631790642605836,2.631790642605836,2.631790642605836,2.5957819532979767,2.5855404458403872;0.2974566277116537,0.6175115145742893,0.8975452277809381,0.7566254884004593,0.30497116781771183,0.5070595666766167,0.5716305505484343,0.5289252512156963,0.8938156310468912,0.5392053723335266,0.8075083885341883,0.558044420555234,0.5714594833552837,0.4128176085650921,0.5436803568154573,0.7966596744954586,0.5711395144462585,0.6108420211821795,0.37300677597522736,0.23818674124777317,0.3236655220389366,0.4228378161787987,0.36100552417337894,0.23747319728136063,0.19941535592079163,0.5660585965961218,0.21152979508042336,0.4984166156500578,1.5067729204893112,0.7766064312309027,0.7832128088921309,0.46667754650115967,0.22778625041246414,0.19047874584794044,0.554359994828701,0.14999349229037762,0.6981067173182964,0.4040773008018732,0.19910536520183086,0.3994508143514395,0.23475465551018715,0.8340366296470165,1.186085132881999,0.287961034104228,1.8523586001247168,0.26430032029747963,0.22435791976749897,0.2651465926319361,2.49864942394197,1.6533123217523098
hartmann;ei;nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan;-2.2384074962952574,-2.2384074962952574,-2.2384074962952574,-2.2384074962952574,-2.2384074962952574,-2.2384074962952574,-2.2384074962952574,-2.2384074962952574,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207,-3.7403297435883207;0.8655845802277327,0.7302871402353048,0.8717268332839012,0.681674774736166,0.7768377102911472,0.6526461951434612,1.4832601118832827,1.1034099515527487,0.24266078881919384,0.21867392398416996,0.238823551684618,0.25971172749996185,0.23630241863429546,0.24474113248288631,0.27975133433938026,0.33577425219118595,0.4190721344202757,0.3569415081292391,0.4446559548377991,0.5634720344096422,0.5496702659875154,0.45738521963357925,0.5521091483533382,0.6804837845265865,0.5463959034532309,0.5537292081862688,0.33513581566512585,0.6004516631364822,0.4436200838536024,0.7718175947666168,0.6513842064887285,0.5220656376332045,0.5390828549861908,0.7093956582248211,0.6702709048986435,0.4868590906262398,0.7048132047057152,1.292874287813902,0.7111792434006929,0.8517960105091333,0.7299953736364841,1.063457366079092,0.6772896647453308,1.0868842899799347,0.8029387202113867,1.2625779695808887,0.9870455637574196,0.6763010825961828,0.6655680872499943,0.7517579775303602
branin;ei;nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan;3.120297525336067,3.120297525336067,1.5659043824077887,0.8381667850044803,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7309477653354008,0.7191068640126375,0.7034843788713161,0.6806457788594855,0.6489874934733084,0.5866465448114226,0.5403242706171234,0.48931480125223814,0.45421321559453176,0.4280059827179148,0.4149916032715186,0.40897432006987877,0.4064003027090539,0.40489056583618854,0.40321908640331294,0.4031841441485309,0.40235850147725927,0.4021179371652792,0.40192742963063743,0.40192742963063743;0.4580655451864004,0.3213083539158106,0.8448053058236837,1.0690167117863894,0.7779822200536728,0.7781472280621529,0.7793592493981123,1.0612595211714506,1.1072768438607454,1.1343967523425817,1.6960685588419437,1.373417902737856,1.0961011685431004,1.0368357375264168,1.0441014803946018,0.940628731623292,0.9104131646454334,1.5092423353344202,0.844846723601222,0.8916996233165264,0.8724340256303549,1.0870075281709433,0.81144311837852,1.0190037600696087,1.2577903252094984,0.6975995469838381,1.0835012067109346,1.0864296164363623,1.2679485622793436,1.253913376480341,1.131647128611803,0.7268026899546385,1.2518881484866142,0.9831240773200989,1.1364308316260576,1.2632641028612852,1.4231839124113321,1.16859458014369,0.8720491752028465,0.7738963570445776
